Entity,Year,Annual CO₂ emissions from coal (per capita)
Asia,1948,0.17768344
Asia,1949,0.20763917
Asia,1950,0.22318111
Asia,1951,0.25235954
Asia,1952,0.2740545
Asia,1953,0.27927798
Asia,1954,0.29326487
Asia,1955,0.31271994
Asia,1956,0.33461875
Asia,1957,0.3714908
Asia,1958,0.52773434
Asia,1959,0.63769835
Asia,1960,0.67727023
Asia,1961,0.553712
Asia,1962,0.48737133
Asia,1963,0.48249227
Asia,1964,0.474298
Asia,1965,0.49497828
Asia,1966,0.5109669
Asia,1967,0.46568447
Asia,1968,0.4822997
Asia,1969,0.52672154
Asia,1970,0.6040721
Asia,1971,0.63044035
Asia,1972,0.62616026
Asia,1973,0.63275677
Asia,1974,0.62922496
Asia,1975,0.677911
Asia,1976,0.67207
Asia,1977,0.7020065
Asia,1978,0.7195974
Asia,1979,0.73422056
Asia,1980,0.73681414
Asia,1981,0.7370947
Asia,1982,0.77459675
Asia,1983,0.7980406
Asia,1984,0.85270894
Asia,1985,0.9142229
Asia,1986,0.9369927
Asia,1987,0.97172076
Asia,1988,1.0255141
Asia,1989,1.0225399
Asia,1990,1.0162295
Asia,1991,1.0334568
Asia,1992,1.0339683
Asia,1993,1.0563493
Asia,1994,1.0859326
Asia,1995,1.1313947
Asia,1996,1.1602616
Asia,1997,1.1442891
Asia,1998,1.0765653
Asia,1999,1.1142026
Asia,2000,1.141311
Asia,2001,1.1480571
Asia,2002,1.2506732
Asia,2003,1.4151242
Asia,2004,1.480563
Asia,2005,1.6354675
Asia,2006,1.7619689
Asia,2007,1.8763678
Asia,2008,1.9765439
Asia,2009,2.045879
Asia,2010,2.1864
